timestamp,target_x,target_y,target_z,std_x,std_y,std_z,prop_x,prop_y,prop_z,err_std_mm,err_prop_mm,delay_ms,tau_filt_ms
0.0,0.26756,0.29976,0.9,0.18525,0.39399,0.9,0.18506,0.39408,0.9,133.1,111.23,185.0,151.4
0.0158,0.23681,0.33448,0.9,0.18835,0.39042,0.9,0.18921,0.38925,0.9,78.74,90.95,135.8,150.8
0.0605,0.22252,0.34997,0.9,0.1904,0.38799,0.9,0.19165,0.38639,0.9,52.95,53.81,146.4,150.6
0.1504,0.21107,0.36268,0.9,0.19164,0.38647,0.9,0.19218,0.38544,0.9,32.68,15.44,194.0,152.3
0.1971,0.20009,0.37212,0.9,0.19215,0.38561,0.9,0.19183,0.38529,0.9,16.65,5.51,197.0,154.1
0.2414,0.17934,0.38918,0.9,0.19138,0.38582,0.9,0.19094,0.38558,0.9,13.3,13.38,155.1,154.2
0.2571,0.1712,0.39596,0.9,0.19017,0.38643,0.9,0.18963,0.38624,0.9,22.58,20.91,149.7,154.0
0.3034,0.16364,0.40002,0.9,0.18857,0.38725,0.9,0.18769,0.38722,0.9,29.8,31.1,164.4,154.4
0.3192,0.15332,0.40182,0.9,0.18646,0.38812,0.9,0.18581,0.38815,0.9,38.15,29.91,109.2,152.6
0.3975,0.13731,0.40941,0.9,0.18351,0.3894,0.9,0.18241,0.38963,0.9,53.56,53.04,160.7,152.9
0.4568,0.13645,0.40872,0.9,0.18069,0.39056,0.9,0.17918,0.39102,0.9,50.87,50.18,182.8,154.1
0.4719,0.13623,0.41017,0.9,0.17802,0.39173,0.9,0.17618,0.39231,0.9,48.59,46.63,125.9,153.0
0.4887,0.13638,0.41049,0.9,0.17552,0.39286,0.9,0.17339,0.39357,0.9,45.66,43.76,123.3,151.8
0.5649,0.13629,0.40998,0.9,0.17317,0.39389,0.9,0.17079,0.39472,0.9,42.8,40.58,145.7,151.6
0.6269,0.13955,0.40845,0.9,0.17115,0.39476,0.9,0.16858,0.39571,0.9,36.64,34.67,135.4,150.9
0.672,0.14064,0.40808,0.9,0.16932,0.39556,0.9,0.16785,0.39552,0.9,33.29,31.05,126.8,149.9
0.7748,0.14257,0.40795,0.9,0.16771,0.3963,0.9,0.16672,0.39585,0.9,29.49,28.35,128.9,149.1
0.8499,0.14492,0.40864,0.9,0.16635,0.39704,0.9,0.16555,0.39642,0.9,25.92,24.64,112.8,147.7
0.9395,0.14396,0.40976,0.9,0.165,0.39781,0.9,0.16422,0.39718,0.9,25.74,25.37,160.8,148.2
0.955,0.14441,0.41043,0.9,0.16377,0.39856,0.9,0.16285,0.39801,0.9,24.15,23.84,124.9,147.3
1.0309,0.14416,0.41086,0.9,0.16259,0.3993,0.9,0.16136,0.39893,0.9,23.15,22.59,153.4,147.5
1.0614,0.14398,0.40954,0.9,0.16147,0.39992,0.9,0.15996,0.39972,0.9,21.24,20.32,161.8,148.1
1.1224,0.14425,0.40959,0.9,0.16044,0.4005,0.9,0.1582,0.40064,0.9,19.75,18.56,143.8,147.9
1.2283,0.14319,0.40995,0.9,0.15941,0.40106,0.9,0.15663,0.40147,0.9,19.67,15.62,189.0,149.5
1.2579,0.14408,0.4084,0.9,0.15849,0.4015,0.9,0.15516,0.4022,0.9,16.99,14.14,103.0,147.7
1.3205,0.14318,0.40907,0.9,0.15757,0.40196,0.9,0.1538,0.40288,0.9,17.07,12.98,109.8,146.2
1.4095,0.14366,0.40943,0.9,0.15673,0.40241,0.9,0.15256,0.40354,0.9,15.79,11.85,156.8,146.6
1.4257,0.14453,0.40946,0.9,0.156,0.40283,0.9,0.15153,0.40411,0.9,14.09,9.99,147.3,146.6
1.4565,0.14269,0.40842,0.9,0.1552,0.40317,0.9,0.15054,0.40459,0.9,14.44,9.56,135.7,146.2
1.5164,0.14247,0.40785,0.9,0.15444,0.40345,0.9,0.14965,0.405,0.9,13.57,8.2,105.1,144.5
1.6223,0.1423,0.40802,0.9,0.15371,0.40372,0.9,0.1489,0.40536,0.9,12.97,6.86,153.6,144.9
