timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
0.0,137.5,137.5,30.0,30.0
0.01,196.0,139.8,27.38,27.08
0.02,175.1,141.2,24.95,24.52
0.03,162.7,142.1,22.71,22.05
0.04,119.4,141.2,20.65,19.7
0.0501,120.3,140.3,18.77,17.43
0.0601,111.4,139.2,17.07,15.37
0.0701,193.2,141.3,15.55,13.55
0.0801,167.6,142.4,14.21,12.09
0.0901,179.2,143.9,13.06,10.82
0.1001,111.3,142.6,12.09,9.82
0.1101,207.2,145.1,11.32,9.19
0.1201,194.3,147.1,10.74,8.77
0.1301,133.2,146.5,10.34,8.64
0.1401,131.0,145.9,9.75,8.97
0.1502,132.0,145.4,9.21,9.08
0.1602,144.9,145.3,9.21,8.73
0.1702,167.8,146.2,10.21,8.44
0.1802,159.3,146.8,8.96,8.03
0.1902,146.0,146.7,7.65,7.62
0.2002,178.8,148.0,9.56,7.42
0.2102,132.4,147.4,6.41,6.85
0.2202,148.4,147.4,6.45,6.58
0.2302,156.5,147.8,6.5,6.28
0.2402,166.2,148.5,6.79,5.97
0.2503,199.7,150.6,9.62,5.78
0.2603,141.9,150.2,4.89,5.16
0.2703,173.9,151.2,6.25,4.98
0.2803,182.4,152.4,6.65,4.68
0.2903,128.4,151.5,4.73,4.07
0.3003,185.0,152.8,6.41,4.01
0.3103,141.9,152.4,3.8,3.45
0.3203,131.9,151.5,4.05,3.09
0.3303,220.7,154.3,9.92,3.23
0.3403,222.9,157.1,9.58,2.93
0.3504,207.6,159.1,7.21,2.56
0.3604,157.6,159.0,2.95,2.04
0.3704,137.3,158.1,3.97,1.72
0.3804,196.3,159.7,5.43,1.81
0.3904,172.3,160.2,2.85,1.48
0.4004,140.7,159.4,3.58,1.14
0.4104,178.3,160.2,3.1,1.17
0.4204,132.5,159.1,4.3,0.78
0.4304,220.2,161.5,7.79,1.09
0.4404,155.4,161.3,2.2,0.62
0.4505,195.9,162.6,4.41,0.71
0.4605,160.9,162.6,1.82,0.43
0.4705,181.9,163.3,2.58,0.44
0.4805,184.6,164.2,2.7,0.38
0.4905,148.5,163.6,2.9,0.19
0.5005,227.0,166.1,7.68,0.44
0.5105,207.5,167.8,4.82,0.28
0.5205,223.9,170.0,6.55,0.29
0.5305,219.3,172.0,5.59,0.22
0.5405,189.5,172.7,1.86,0.18
0.5506,221.8,174.6,5.45,0.17
0.5606,138.3,173.2,5.71,0.43
0.5706,148.9,172.2,4.07,0.38
0.5806,133.6,170.7,5.72,0.45
0.5906,161.3,170.3,2.0,0.31
0.6006,167.4,170.2,1.24,0.28
0.6106,155.3,169.6,2.53,0.34
0.6206,210.7,171.2,4.75,0.11
0.6306,163.2,170.9,1.73,0.31
0.6406,155.2,170.3,2.58,0.33
0.6507,181.0,170.7,1.06,0.2
0.6607,140.4,169.5,4.33,0.39
0.6707,206.0,171.0,4.25,0.07
0.6807,132.8,169.4,5.29,0.43
0.6907,223.5,171.6,6.48,0.07
0.7007,201.5,172.8,3.33,0.08
0.7107,143.5,171.6,4.23,0.37
0.7207,123.6,169.7,6.47,0.45
0.7307,204.0,171.1,4.05,0.01
0.7407,192.5,171.9,2.37,0.07
0.7508,194.1,172.8,2.42,0.06
0.7608,197.6,173.8,2.71,0.04
0.7708,127.2,171.9,6.35,0.39
0.7808,154.9,171.3,2.49,0.22
0.7908,129.9,169.6,5.48,0.33
0.8008,203.9,171.0,4.15,0.1
0.8108,179.1,171.3,0.81,0.08
0.8208,149.1,170.4,3.05,0.21
0.8308,121.6,168.5,6.33,0.33
0.8408,145.5,167.5,2.95,0.2
0.8509,146.1,166.7,2.7,0.18
0.8609,185.7,167.4,2.44,0.1
0.8709,175.6,167.8,1.03,0.09
0.8809,199.7,169.0,3.99,0.15
